r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.7553e-1,0.0000e+0,0.0000e+0
0.00313,0.00208,1.7526e-1,0.0000e+0,0.0000e+0
0.00521,0.00208,1.7473e-1,0.0000e+0,0.0000e+0
0.00729,0.00208,1.7415e-1,0.0000e+0,0.0000e+0
0.00937,0.00208,1.7351e-1,0.0000e+0,0.0000e+0
0.01146,0.00208,1.7266e-1,0.0000e+0,0.0000e+0
0.01354,0.00208,1.7159e-1,0.0000e+0,0.0000e+0
0.01563,0.00208,1.7040e-1,0.0000e+0,0.0000e+0
0.01771,0.00208,1.6910e-1,0.0000e+0,0.0000e+0
0.01979,0.00208,1.6762e-1,0.0000e+0,0.0000e+0
0.02187,0.00208,1.6591e-1,0.0000e+0,0.0000e+0
0.02396,0.00208,1.6401e-1,0.0000e+0,0.0000e+0
0.02604,0.00208,1.6193e-1,0.0000e+0,0.0000e+0
0.02813,0.00208,1.5979e-1,0.0000e+0,0.0000e+0
0.03021,0.00208,1.5747e-1,0.0000e+0,0.0000e+0
0.03229,0.00208,1.5500e-1,0.0000e+0,0.0000e+0
0.03438,0.00208,1.5229e-1,0.0000e+0,0.0000e+0
0.03646,0.00208,1.4936e-1,0.0000e+0,0.0000e+0
0.03854,0.00208,1.4628e-1,0.0000e+0,0.0000e+0
0.04063,0.00208,1.4302e-1,0.0000e+0,0.0000e+0
0.04271,0.00208,1.3958e-1,0.0000e+0,0.0000e+0
0.04479,0.00208,1.3598e-1,0.0000e+0,0.0000e+0
0.04688,0.00208,1.3222e-1,0.0000e+0,0.0000e+0
0.04896,0.00208,1.2830e-1,0.0000e+0,0.0000e+0
0.05104,0.00208,1.2421e-1,0.0000e+0,0.0000e+0
0.05312,0.00208,1.1996e-1,0.0000e+0,0.0000e+0
0.05521,0.00208,1.1560e-1,0.0000e+0,0.0000e+0
0.05729,0.00208,1.1112e-1,0.0000e+0,0.0000e+0
0.05937,0.00208,1.0654e-1,0.0000e+0,0.0000e+0
0.06146,0.00208,1.0185e-1,0.0000e+0,0.0000e+0
0.06354,0.00208,9.7036e-2,0.0000e+0,0.0000e+0
0.06563,0.00208,9.2103e-2,0.0000e+0,0.0000e+0
0.06771,0.00208,8.7054e-2,0.0000e+0,0.0000e+0
0.06979,0.00208,8.1877e-2,0.0000e+0,0.0000e+0
0.07187,0.00208,7.6577e-2,0.0000e+0,0.0000e+0
0.07396,0.00208,7.1125e-2,0.0000e+0,0.0000e+0
0.07604,0.00208,6.5544e-2,0.0000e+0,0.0000e+0
0.07813,0.00208,5.9843e-2,0.0000e+0,0.0000e+0
0.08021,0.00208,5.4055e-2,0.0000e+0,0.0000e+0
0.08229,0.00208,4.8205e-2,0.0000e+0,0.0000e+0
0.08438,0.00208,4.2334e-2,0.0000e+0,0.0000e+0
0.08646,0.00208,3.6501e-2,0.0000e+0,0.0000e+0
0.08854,0.00208,3.0720e-2,0.0000e+0,0.0000e+0
0.09062,0.00208,2.5000e-2,0.0000e+0,0.0000e+0
0.09271,0.00208,1.9332e-2,0.0000e+0,0.0000e+0
0.09479,0.00208,1.3713e-2,0.0000e+0,0.0000e+0
0.09688,0.00208,8.1622e-3,0.0000e+0,0.0000e+0
0.09896,0.00208,2.6874e-3,0.0000e+0,0.0000e+0
0.00104,0.00625,5.2716e-1,0.0000e+0,0.0000e+0
0.00313,0.00625,5.2652e-1,0.0000e+0,0.0000e+0
0.00521,0.00625,5.2547e-1,0.0000e+0,0.0000e+0
0.00729,0.00625,5.2393e-1,0.0000e+0,0.0000e+0
0.00937,0.00625,5.2185e-1,0.0000e+0,0.0000e+0
0.01146,0.00625,5.1929e-1,0.0000e+0,0.0000e+0
0.01354,0.00625,5.1625e-1,0.0000e+0,0.0000e+0
0.01563,0.00625,5.1271e-1,0.0000e+0,0.0000e+0
0.01771,0.00625,5.0860e-1,0.0000e+0,0.0000e+0
0.01979,0.00625,5.0401e-1,0.0000e+0,0.0000e+0
0.02187,0.00625,4.9891e-1,0.0000e+0,0.0000e+0
0.02396,0.00625,4.9334e-1,0.0000e+0,0.0000e+0
0.02604,0.00625,4.8731e-1,0.0000e+0,0.0000e+0
0.02813,0.00625,4.8081e-1,0.0000e+0,0.0000e+0
0.03021,0.00625,4.7382e-1,0.0000e+0,0.0000e+0
0.03229,0.00625,4.6624e-1,0.0000e+0,0.0000e+0
0.03438,0.00625,4.5811e-1,0.0000e+0,0.0000e+0
0.03646,0.00625,4.4943e-1,0.0000e+0,0.0000e+0
0.03854,0.00625,4.4020e-1,0.0000e+0,0.0000e+0
0.04063,0.00625,4.3043e-1,0.0000e+0,0.0000e+0
0.04271,0.00625,4.2017e-1,0.0000e+0,0.0000e+0
0.04479,0.00625,4.0937e-1,0.0000e+0,0.0000e+0
0.04688,0.00625,3.9804e-1,0.0000e+0,0.0000e+0
0.04896,0.00625,3.8619e-1,0.0000e+0,0.0000e+0
0.05104,0.00625,3.7385e-1,0.0000e+0,0.0000e+0
0.05312,0.00625,3.6109e-1,0.0000e+0,0.0000e+0
0.05521,0.00625,3.4795e-1,0.0000e+0,0.0000e+0
0.05729,0.00625,3.3449e-1,0.0000e+0,0.0000e+0
0.05937,0.00625,3.2074e-1,0.0000e+0,0.0000e+0
0.06146,0.00625,3.0668e-1,0.0000e+0,0.0000e+0
0.06354,0.00625,2.9226e-1,0.0000e+0,0.0000e+0
0.06563,0.00625,2.7749e-1,0.0000e+0,0.0000e+0
0.06771,0.00625,2.6234e-1,0.0000e+0,0.0000e+0
0.06979,0.00625,2.4682e-1,0.0000e+0,0.0000e+0
0.07187,0.00625,2.3089e-1,0.0000e+0,0.0000e+0
0.07396,0.00625,2.1453e-1,0.0000e+0,0.0000e+0
0.07604,0.00625,1.9774e-1,0.0000e+0,0.0000e+0
0.07813,0.00625,1.8055e-1,0.0000e+0,0.0000e+0
0.08021,0.00625,1.6302e-1,0.0000e+0,0.0000e+0
0.08229,0.00625,1.4527e-1,0.0000e+0,0.0000e+0
0.08438,0.00625,1.2746e-1,0.0000e+0,0.0000e+0
0.08646,0.00625,1.0981e-1,0.0000e+0,0.0000e+0
0.08854,0.00625,9.2472e-2,0.0000e+0,0.0000e+0
0.09062,0.00625,7.5325e-2,0.0000e+0,0.0000e+0
0.09271,0.00625,5.8296e-2,0.0000e+0,0.0000e+0
0.09479,0.00625,4.1391e-2,0.0000e+0,0.0000e+0
0.09688,0.00625,2.4642e-2,0.0000e+0,0.0000e+0
0.09896,0.00625,8.1184e-3,0.0000e+0,0.0000e+0
0.00104,0.01042,8.8319e-1,0.0000e+0,0.0000e+0
0.00313,0.01042,8.8248e-1,0.0000e+0,0.0000e+0
0.00521,0.01042,8.8071e-1,0.0000e+0,0.0000e+0
0.00729,0.01042,8.7803e-1,0.0000e+0,0.0000e+0
0.00937,0.01042,8.7454e-1,0.0000e+0,0.0000e+0
0.01146,0.01042,8.7022e-1,0.0000e+0,0.0000e+0
