r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.6797e-1,0.0000e+0,0.0000e+0
0.00313,0.00208,1.6753e-1,0.0000e+0,0.0000e+0
0.00521,0.00208,1.6664e-1,0.0000e+0,0.0000e+0
0.00729,0.00208,1.6524e-1,0.0000e+0,0.0000e+0
0.00937,0.00208,1.6302e-1,0.0000e+0,0.0000e+0
0.01146,0.00208,1.5930e-1,0.0000e+0,0.0000e+0
0.01354,0.00208,1.5279e-1,0.0000e+0,0.0000e+0
0.01563,0.00208,1.4066e-1,0.0000e+0,0.0000e+0
0.01771,0.00208,1.1647e-1,8.8358e+11,0.0000e+0
0.01979,0.00208,1.2684e-1,3.4096e+11,0.0000e+0
0.02187,0.00208,1.4416e-1,0.0000e+0,0.0000e+0
0.02396,0.00208,1.5078e-1,0.0000e+0,0.0000e+0
0.02604,0.00208,1.5279e-1,0.0000e+0,0.0000e+0
0.02813,0.00208,1.5266e-1,0.0000e+0,0.0000e+0
0.03021,0.00208,1.5145e-1,0.0000e+0,0.0000e+0
0.03229,0.00208,1.4971e-1,0.0000e+0,0.0000e+0
0.03438,0.00208,1.4762e-1,0.0000e+0,0.0000e+0
0.03646,0.00208,1.4532e-1,0.0000e+0,0.0000e+0
0.03854,0.00208,1.4289e-1,0.0000e+0,0.0000e+0
0.04063,0.00208,1.4034e-1,0.0000e+0,0.0000e+0
0.04271,0.00208,1.3766e-1,0.0000e+0,0.0000e+0
0.04479,0.00208,1.3481e-1,0.0000e+0,0.0000e+0
0.04688,0.00208,1.3179e-1,0.0000e+0,0.0000e+0
0.04896,0.00208,1.2852e-1,0.0000e+0,0.0000e+0
0.05104,0.00208,1.2503e-1,0.0000e+0,0.0000e+0
0.05312,0.00208,1.2132e-1,0.0000e+0,0.0000e+0
0.05521,0.00208,1.1739e-1,0.0000e+0,0.0000e+0
0.05729,0.00208,1.1322e-1,0.0000e+0,0.0000e+0
0.05937,0.00208,1.0883e-1,0.0000e+0,0.0000e+0
0.06146,0.00208,1.0423e-1,0.0000e+0,0.0000e+0
0.06354,0.00208,9.9445e-2,0.0000e+0,0.0000e+0
0.06563,0.00208,9.4491e-2,0.0000e+0,0.0000e+0
0.06771,0.00208,8.9363e-2,0.0000e+0,0.0000e+0
0.06979,0.00208,8.4102e-2,0.0000e+0,0.0000e+0
0.07187,0.00208,7.8720e-2,0.0000e+0,0.0000e+0
0.07396,0.00208,7.3235e-2,0.0000e+0,0.0000e+0
0.07604,0.00208,6.7648e-2,0.0000e+0,0.0000e+0
0.07813,0.00208,6.1958e-2,0.0000e+0,0.0000e+0
0.08021,0.00208,5.6173e-2,0.0000e+0,0.0000e+0
0.08229,0.00208,5.0318e-2,0.0000e+0,0.0000e+0
0.08438,0.00208,4.4394e-2,0.0000e+0,0.0000e+0
0.08646,0.00208,3.8431e-2,0.0000e+0,0.0000e+0
0.08854,0.00208,3.2432e-2,0.0000e+0,0.0000e+0
0.09062,0.00208,2.6432e-2,0.0000e+0,0.0000e+0
0.09271,0.00208,2.0450e-2,0.0000e+0,0.0000e+0
0.09479,0.00208,1.4511e-2,0.0000e+0,0.0000e+0
0.09688,0.00208,8.6295e-3,0.0000e+0,0.0000e+0
0.09896,0.00208,2.8408e-3,0.0000e+0,0.0000e+0
0.00104,0.00625,5.0674e-1,0.0000e+0,0.0000e+0
0.00313,0.00625,5.0568e-1,0.0000e+0,0.0000e+0
0.00521,0.00625,5.0383e-1,0.0000e+0,0.0000e+0
0.00729,0.00625,5.0117e-1,0.0000e+0,0.0000e+0
0.00937,0.00625,4.9752e-1,0.0000e+0,0.0000e+0
0.01146,0.00625,4.9272e-1,0.0000e+0,0.0000e+0
0.01354,0.00625,4.8676e-1,0.0000e+0,0.0000e+0
0.01563,0.00625,4.7983e-1,0.0000e+0,0.0000e+0
0.01771,0.00625,4.7317e-1,0.0000e+0,0.0000e+0
0.01979,0.00625,4.7093e-1,0.0000e+0,0.0000e+0
0.02187,0.00625,4.7061e-1,0.0000e+0,0.0000e+0
0.02396,0.00625,4.6929e-1,0.0000e+0,0.0000e+0
0.02604,0.00625,4.6648e-1,0.0000e+0,0.0000e+0
0.02813,0.00625,4.6235e-1,0.0000e+0,0.0000e+0
0.03021,0.00625,4.5713e-1,0.0000e+0,0.0000e+0
0.03229,0.00625,4.5102e-1,0.0000e+0,0.0000e+0
0.03438,0.00625,4.4424e-1,0.0000e+0,0.0000e+0
0.03646,0.00625,4.3701e-1,0.0000e+0,0.0000e+0
0.03854,0.00625,4.2956e-1,0.0000e+0,0.0000e+0
0.04063,0.00625,4.2201e-1,0.0000e+0,0.0000e+0
0.04271,0.00625,4.1417e-1,0.0000e+0,0.0000e+0
0.04479,0.00625,4.0581e-1,0.0000e+0,0.0000e+0
0.04688,0.00625,3.9680e-1,0.0000e+0,0.0000e+0
0.04896,0.00625,3.8708e-1,0.0000e+0,0.0000e+0
0.05104,0.00625,3.7666e-1,0.0000e+0,0.0000e+0
0.05312,0.00625,3.6551e-1,0.0000e+0,0.0000e+0
0.05521,0.00625,3.5366e-1,0.0000e+0,0.0000e+0
0.05729,0.00625,3.4112e-1,0.0000e+0,0.0000e+0
