r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.00208,1.3113e-1,1.0201e+10,0.0000e+0
0.00313,0.00208,1.3150e-1,9.9154e+9,0.0000e+0
0.00521,0.00208,1.3220e-1,1.3676e+10,0.0000e+0
0.00729,0.00208,1.3346e-1,1.5346e+10,0.0000e+0
0.00937,0.00208,1.3543e-1,1.6305e+10,0.0000e+0
0.01146,0.00208,1.3840e-1,1.1600e+10,3.2095e+10
0.01354,0.00208,1.4017e-1,8.4444e+9,1.8021e+10
0.01563,0.00208,1.4188e-1,1.4824e+10,1.7463e+10
0.01771,0.00208,1.4425e-1,2.2350e+10,4.9671e+10
0.01979,0.00208,1.4680e-1,1.7228e+10,1.4674e+11
0.02187,0.00208,1.4421e-1,1.6699e+10,1.2834e+11
0.02396,0.00208,1.3851e-1,2.1015e+10,5.0015e+10
0.02604,0.00208,1.3413e-1,2.0117e+10,2.0275e+10
0.02813,0.00208,1.3224e-1,2.0920e+10,5.4873e+10
0.03021,0.00208,1.2995e-1,2.1007e+10,3.4984e+10
0.03229,0.00208,1.2809e-1,1.9683e+10,3.8448e+10
0.03438,0.00208,1.2653e-1,2.5544e+10,3.9740e+10
0.03646,0.00208,1.2581e-1,2.3492e+10,4.4688e+10
0.03854,0.00208,1.2595e-1,1.9427e+10,1.2136e+11
0.04063,0.00208,1.2250e-1,2.0357e+10,1.0349e+11
0.04271,0.00208,1.1702e-1,2.5853e+10,4.5107e+10
0.04479,0.00208,1.1322e-1,2.2760e+10,2.1697e+10
0.04688,0.00208,1.1196e-1,2.6594e+10,8.9968e+10
0.04896,0.00208,1.0889e-1,2.6172e+10,6.0312e+10
0.05104,0.00208,1.0579e-1,2.5713e+10,3.6350e+10
0.05312,0.00208,1.0428e-1,2.6810e+10,8.9079e+10
0.05521,0.00208,1.0146e-1,2.6982e+10,9.5501e+10
0.05729,0.00208,9.7305e-2,2.8816e+10,7.0673e+10
0.05937,0.00208,9.2998e-2,3.1170e+10,4.5680e+10
0.06146,0.00208,9.0210e-2,3.4803e+10,8.2140e+10
0.06354,0.00208,8.7293e-2,3.0937e+10,9.7864e+10
0.06563,0.00208,8.3100e-2,3.1803e+10,9.7801e+10
0.06771,0.00208,7.7117e-2,3.2438e+10,3.0096e+10
0.06979,0.00208,7.2905e-2,3.1993e+10,3.1510e+10
0.07187,0.00208,6.9453e-2,3.2263e+10,3.2791e+10
0.07396,0.00208,6.6333e-2,3.3627e+10,3.4803e+10
0.07604,0.00208,6.3764e-2,3.1040e+10,5.3363e+10
